"gid"|"geom"|"categoria"|"nome"|"citta"|"indirizzo"|"numero"|"cap"|"fonte"|"note"|"pubblicabile"|"verificato"|"datains"|"utenins"|"datamod"|"utenmod"|"dataver"|"utenver"|"distanza_minima"|"comune_ist"|"comune_nom"
"8222"|"0101000020787F00006946E17A03F41841A64FB89E9B165341"|"Scuola"|"Scuola - Infanzia-primaria"|"Brandizzo"|"Via Morandi 1"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001034"|"Brandizzo"
"8223"|"0101000020787F0000E483EB518FFC1841A64FB86EFC155341"|"Scuola"|"Scuola - Sec. 1 Gr."|"Brandizzo"|"Via Alba 10"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001034"|"Brandizzo"
"8232"|"0101000020787F00009D7914AEB5F518416745E1BAEE155341"|"Scuola"|"Scuola - Primaria"|"Brandizzo"|"Via Matteotti 2"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001034"|"Brandizzo"
"8917"|"0101000020787F00003513AE47A2F31841E1598F62B6165341"|"Scuola"|"Scuola - Primaria"|"Brandizzo"|"Via Nicolao Cena 2"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001034"|"Brandizzo"
"840"|"0101000020787F00009347828ED0CF1C41E74AD42721405341"|"Banche-ATM"|""|"Bellinzago Novarese"|"VIA DELLA LIBERTA', 101 BELLINZAGO NOVARESE"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"003016"|"Bellinzago Novarese"
"1875"|"0101000020787F000035DC6C85BBD01C4179E7D647F23F5341"|"Banche-ATM"|""|"Bellinzago Novarese"|"VIA LIBERTA', 141 BELLINZAGO NOVARESE"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"003016"|"Bellinzago Novarese"
"1882"|"0101000020787F00005D6E71C180CF1C419C68027623405341"|"Banche-ATM"|""|"Bellinzago Novarese"|"VIA LIBERTA', 138 BELLINZAGO NOVARESE"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"003016"|"Bellinzago Novarese"
"5245"|"0101000020787F0000365E00E69EBD17413A5DDE40EE105341"|"Poste"|""|"Druento"|"VENARIA 69 (VIA), TORINO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001099"|"Druento"
"5383"|"0101000020787F00005E43AF800BD51C41096F31EDFC3F5341"|"Poste"|""|"Bellinzago Novarese"|"TICINO 25 (VIA), BELLINZAGO NOVARESE, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"500"|"003016"|"Bellinzago Novarese"
"8427"|"0101000020787F0000F6285C8F8CD21C41A84FB8CE54405341"|"Scuola"|"Scuola - Primaria"|"Bellinzago Novarese"|"Via Bovio"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"003016"|"Bellinzago Novarese"
"2106"|"0101000020787F000015D0508186D21C4154DA527FB84F5341"|"Banche-ATM"|""|"Castelletto Sopra Ticino"|"PIAZZALE FRATELLI CERVI, 12 CASTELLETTO SOPRA TICINO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"003043"|"Castelletto sopra Ticino"
"2107"|"0101000020787F0000EE8DFA01A0C21C41FF29A43E0C4F5341"|"Banche-ATM"|""|"Castelletto Sopra Ticino"|"VIA CADUTI DELLA LIBERTA', 160/B CASTELLETTO SOPRA TICINO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"003043"|"Castelletto sopra Ticino"
"2212"|"0101000020787F0000AD2425FEEACC1C41A4AC76F5874F5341"|"Banche-ATM"|""|"Castelletto Sopra Ticino"|"VIA SANDRO PERTINI, 5 CASTELLETTO SOPRA TICINO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"003043"|"Castelletto sopra Ticino"
"2213"|"0101000020787F00000084AAB27FCD1C41DCC8C5278E4F5341"|"Banche-ATM"|""|"Castelletto Sopra Ticino"|"VIA XXV APRILE, 41 CASTELLETTO SOPRA TICINO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"003043"|"Castelletto sopra Ticino"
"5661"|"0101000020787F0000B82978FD3DD21C412501C08BB04F5341"|"Poste"|""|"Castelletto Sopra Ticino"|"MUNICIPIO (PIAZZA DEL), CASTELLETTO SOPRA TICINO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"500"|"003043"|"Castelletto sopra Ticino"
"8663"|"0101000020787F0000FFFFFFFFB7C41C41569799494A4F5341"|"Scuola"|"Scuola - Primaria"|"Castelletto Sopra Ticino"|"Via Caduti Per La Libert? 136"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"003043"|"Castelletto sopra Ticino"
"9560"|"0101000020787F0000C2F5285C17D11C41626E3D9A974F5341"|"Scuola"|"Scuola - Sec. 1 Gr."|"Castelletto Sopra Ticino"|"Via Xxv Aprile, 16"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"003043"|"Castelletto sopra Ticino"
"9832"|"0101000020787F000094BFF52850F2174141C0F5485B105341"|"Scuola"|"Scuola - Primaria"|"Venaria Reale"|"Via Guarini 19"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"166"|"0101000020787F0000D2A46B4985F2174178B850138F115341"|"Banche-ATM"|""|"Venaria Reale"|"VIA ANDREA MENSA, 10 VENARIA REALE"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"1269"|"0101000020787F0000FE46BDF89DF317413DDEA0CC63115341"|"Banche-ATM"|""|"Venaria Reale"|"VIALE BURIDANI, 6 VENARIA REALE"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"8106"|"0101000020787F00008FE851B8CDF31741EE07D7337E115341"|"Scuola"|"Scuola - Infanzia-primaria"|"Venaria Reale"|"Piazza Vittorio Veneto 2"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"9446"|"0101000020787F00007913FF7CFEF217410843E44262115341"|"Scuola"|"Scuola - Infanzia"|"Venaria Reale"|"Via Medici Del Vascello"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"9831"|"0101000020787F0000A596999906F41741D082EBD175115341"|"Scuola"|"Scuola - Infanzia"|"Venaria Reale"|"Piazza Vittorio Veneto 2"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"11706"|"0101000020787F000032D4A370BC001841556E3DFA90105341"|"Scuola"|"Scuola - Sec. 2 Gr."|"Venaria Reale"|"Via Bruno Buozzi, 16"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"8108"|"0101000020787F0000AD6D3D0A08F31741BDD4A34055105341"|"Scuola"|"Scuola - Infanzia"|"Venaria Reale"|"Via Guarini 19"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"46"|"0101000020787F000044F090235D021841DEEB8297FD0F5341"|"Banche-ATM"|""|"Venaria Reale"|"CORSO GARIBALDI, 157 VENARIA REALE"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"162"|"0101000020787F0000AAA8392707F217410D0F0CFE1A115341"|"Banche-ATM"|""|"Venaria Reale"|"VIALE BURIDANI, 38 VENARIA REALE"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"163"|"0101000020787F00009B4E4DA1D9F31741C4C58B2757115341"|"Banche-ATM"|""|"Venaria Reale"|"VIALE PAOLO EMILIO BURIDANI, 11/11 BIS VENARIA REALE"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"167"|"0101000020787F00001D327509D9F71741ECED22A6E5105341"|"Banche-ATM"|""|"Venaria Reale"|"VIA ISEPPON, 2/A VENARIA REALE"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"1268"|"0101000020787F0000142611D186F8174176C37BCBF4105341"|"Banche-ATM"|""|"Venaria Reale"|"CORSO GARIBALDI, 59 VENARIA REALE"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"5300"|"0101000020787F0000B372721200F417414CE5035421115341"|"Poste"|""|"Venaria Reale"|"VIA GOITO 6, VENARIA REALE, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"11753"|"0101000020787F0000B06D3D0A00F51741BDD4A38043115341"|"Scuola"|"Scuola - Sec. 1 Gr."|"Venaria Reale"|"L.go Garibaldi 2 Ora Via Barolo 7"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"168"|"0101000020787F00002739FE65D3FE174193924CC4F2105341"|"Banche-ATM"|""|"Venaria Reale"|"VIA S. MARCHESE, 1 VENARIA REALE"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"8105"|"0101000020787F0000B66D3D0A84F71741BDD4A340A7105341"|"Scuola"|"Scuola - Sec. 1 Gr."|"Venaria Reale"|"Corso Papa Giovanni Xxiii 54"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"11752"|"0101000020787F0000DA6D3D0A98071841BED4A30022105341"|"Scuola"|"Scuola - Infanzia"|"Venaria Reale"|"Via Gaetano Amati 115"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"5293"|"0101000020787F00001C0DE35725F11741C5D266635A105341"|"Poste"|""|"Venaria Reale"|"VIA GUARINI 27, VENARIA REALE, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"11751"|"0101000020787F0000BF6D3D0A8CFB1741B2FDFFBFE1105341"|"Scuola"|"Scuola - Infanzia-primaria"|"Venaria Reale"|"Via Francesco Baracca 2"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"169"|"0101000020787F0000EF1CA14B52F217416BA1F8FF24115341"|"Banche-ATM"|""|"Venaria Reale"|"VIALE BURIDANI, 30 VENARIA REALE"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"5501"|"0101000020787F0000288532B17EFA17416E21831910115341"|"Poste"|""|"Venaria Reale"|"TORINO  3 (VIA), CANALE, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"11757"|"0101000020787F0000DB6D3D0A28081841BED4A340E10F5341"|"Scuola"|"Scuola - Primaria-sec. 1 Gr."|"Venaria Reale"|"Via Gaetano Amati 134"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"8101"|"0101000020787F00001282EB512FEA174104B61E6517105341"|"Scuola"|"Scuola - Infanzia-primaria-sec. 1 Gr."|"Venaria Reale"|"Via Boccaccio 80"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"9825"|"0101000020787F0000A644E17A75EC1741E6303303FE0F5341"|"Scuola"|"Scuola - Primaria"|"Venaria Reale"|"Via Boccaccio 44"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"11750"|"0101000020787F0000946D3D0A6CE81741BCD4A34059115341"|"Scuola"|"Scuola - Infanzia"|"Venaria Reale"|"Via Don Giovanni Sapino 10"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"9883"|"0101000020787F0000AE1B85EB77EB17419C4FB8CE04105341"|"Scuola"|"Scuola - Sec. 1 Gr."|"Venaria Reale"|"Via Boccaccio 48"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"11756"|"0101000020787F00009F6D3D0A28ED1741BCD4A380EE105341"|"Scuola"|"Scuola - Primaria"|"Venaria Reale"|"Via Giovanni Giolitti 8"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001292"|"Venaria Reale"
"1415"|"0101000020787F0000AA4F8E97BDAF17415F1814DACE115341"|"Banche-ATM"|""|"Druento"|"LARGO OROPA, 1 DRUENTO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001099"|"Druento"
"1416"|"0101000020787F0000D50B795111B11741F388AB4176115341"|"Banche-ATM"|""|"Druento"|"VIA TORINO, 21 DRUENTO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001099"|"Druento"
"1417"|"0101000020787F00001EA0E7986DB617418E86DC8914115341"|"Banche-ATM"|""|"Druento"|"VIA TORINO, 53 DRUENTO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001099"|"Druento"
"6362"|"0101000020787F0000608741AA3FAD17414A93037950115341"|"Poste"|""|"Druento"|"VIA GARIBALDI 20, DRUENTO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001099"|"Druento"
"8833"|"0101000020787F0000872922490FAF1741B7DBCCE343115341"|"Scuola"|"Scuola - Sec. 1 Gr."|"Druento"|"Via A. Manzoni 13"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001099"|"Druento"
"9340"|"0101000020787F0000186D3D0A80B71741B8D4A3C0DF105341"|"Scuola"|"Scuola - Infanzia"|"Druento"|"Via Raffaello Sanzio"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001099"|"Druento"
"10524"|"0101000020787F0000DE1C1F027CAF17412315D17740115341"|"Scuola"|"Scuola - Primaria-sec. 1 Gr."|"Druento"|"Via Manzoni 11"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001099"|"Druento"
"5340"|"0101000020787F000026F5AD0FA8CF1641066B942E20105341"|"Poste"|""|"Almese"|"VIA ROMA 8/5, ALMESE"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001006"|"Almese"
"8176"|"0101000020787F000080DA7A141FCE1641F48CC2253E105341"|"Scuola"|"Scuola - Infanzia"|"Almese"|"Via Viglianis,  16"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001006"|"Almese"
"8857"|"0101000020787F000095DA7A148DD2164199FDFF0F0A105341"|"Scuola"|"Scuola - Sec. 1 Gr."|"Almese"|"Piazza Fiera 10"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001006"|"Almese"
"9730"|"0101000020787F0000697EEB511DD216414645E1FA0D105341"|"Scuola"|"Scuola - Primaria"|"Almese"|"Piazza Fiera 8"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001006"|"Almese"
"9731"|"0101000020787F000024D1A370CE021741B2AB4741850E5341"|"Scuola"|"Scuola - Primaria"|"Almese"|"Via Della Chiesa 16"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001006"|"Almese"
"11615"|"0101000020787F0000A7F9FFFF1BE716419BFDFFFFD90F5341"|"Scuola"|"Scuola - Primaria"|"Almese"|""|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001006"|"Almese"
"577"|"0101000020787F00001E3841951A2F1D4185491B265E345341"|"Banche-ATM"|""|"Romentino"|"PIAZZA S.GIOVANNI ROMENTINO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"003131"|"Romentino"
"5001"|"0101000020787F0000D117380EE02F1D4127AF9FF67C345341"|"Poste"|""|"Romentino"|"DELLA POSTA 4 (VIA), ROMENTINO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"500"|"003131"|"Romentino"
